scale,fullID,primary_category_code,primary_prop,primary_label,secondary_category_code,secondary_prop,secondary_label,prop_sum
1 km,133_Q619-3_2025_peat_sites_1028,TrBOG,0.3990976552495023,Treed Bog,ConSWA,0.2676438356886286,Coniferous Swamp,0.6667414909381308
1 m,134_Q619-4_2025_peat_sites_1028,OFEN,1,Open Fen,NA,NA,NA,NA
50 m,134_Q619-4_2025_peat_sites_1028,OFEN,1,Open Fen,NA,NA,NA,NA
100 m,134_Q619-4_2025_peat_sites_1028,OFEN,0.9284893689013464,Open Fen,OBOG,0.07151063109865366,Open Bog,1
1 km,134_Q619-4_2025_peat_sites_1028,OBOG,0.364816692904968,Open Bog,TrBOG,0.3446005128909226,Treed Bog,0.7094172057958905
1 m,135_P209-1_2025_peat_sites_1028,OBOG,1,Open Bog,NA,NA,NA,NA
50 m,135_P209-1_2025_peat_sites_1028,OBOG,0.7951417401055397,Open Bog,TrBOG,0.20485825989446033,Treed Bog,1
100 m,135_P209-1_2025_peat_sites_1028,OBOG,0.6738145678069474,Open Bog,TrBOG,0.2712305690691272,Treed Bog,0.9450451368760746
1 km,135_P209-1_2025_peat_sites_1028,OBOG,0.6346966602129431,Open Bog,TrFEN,0.2104350838170928,Treed Fen,0.8451317440300359
1 m,136_P209-3_2025_peat_sites_1028,OBOG,1,Open Bog,NA,NA,NA,NA
50 m,136_P209-3_2025_peat_sites_1028,TrBOG,0.5546751156047386,Treed Bog,OBOG,0.4453248843952614,Open Bog,1
100 m,136_P209-3_2025_peat_sites_1028,TrBOG,0.6271001071194914,Treed Bog,OBOG,0.3602636136322607,Open Bog,0.987363720751752
1 km,136_P209-3_2025_peat_sites_1028,TrFEN,0.4708270412617715,Treed Fen,OBOG,0.22264613243525358,Open Bog,0.6934731736970251
1 m,137_P209-4_2025_peat_sites_1028,OBOG,1,Open Bog,NA,NA,NA,NA
50 m,137_P209-4_2025_peat_sites_1028,OBOG,1,Open Bog,NA,NA,NA,NA
100 m,137_P209-4_2025_peat_sites_1028,OBOG,1,Open Bog,NA,NA,NA,NA
1 km,137_P209-4_2025_peat_sites_1028,TrFEN,0.44184559033910614,Treed Fen,OBOG,0.2876302797890236,Open Bog,0.7294758701281298
